message_id	response_id	article_id	essay	gender	education	race	age	income	raw_input_emotions	empathy	distress	emotion
R_3QLVVnAgRBRH41U_1	R_3QLVVnAgRBRH41U	13	Hadithi kuhusu mashambulizi ya anga inasikitisha sana. Hasa sehemu ambayo hospitali ililipuliwa kimakosa na kusababisha majeraha na kupoteza maisha. Na watoto tuliokufa, hiyo inahuzunisha. Haipaswi kuwa hivyo, vita ni jambo baya, baya. Maamuzi kama haya yanapaswa kuwa ya uhakika kabisa kwa sababu ya upotezaji wa haki wa watu wasio na hatia.	1.0	4.0	3.0	20.0	24000.0	[BOS] The story about the air strikes is very saddening. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] Especially the part in which a hospital was mistakenly bombed which led to injuries and loss of life. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] And the children we died, that is heartbreaking. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] It shouldn't be that way, war is an awful, ugly thing. [BOE] [disgust] [EOE] [EOS] {sep_tok} [BOS] Decisions like this should be of absolute certainty because of the unjust loss of innocent lives. [BOE] [joy] [EOE] [EOS]	7.0	7.0	sadness
R_3QLVVnAgRBRH41U_2	R_3QLVVnAgRBRH41U	127	Ni wazi kwamba mabadiliko ya hali ya hewa ni jambo ambalo halituathiri sisi tu, wanadamu. Sisi sio viumbe pekee wanaoishi katika ulimwengu huu na tunapaswa kuwaheshimu wanyama wote wanaoishi duniani. Hasa wale ambao wamekuwa hapa kwa mamilioni ya miaka. Ninaona kasa kama viumbe vya kuvutia na ninahisi kama tunapaswa kufanya yote tuwezayo ili kuhakikisha usalama na ukuaji wa wanyama hawa wa kale.	1.0	4.0	3.0	20.0	24000.0	[BOS] It is clear that climate change is something that is not only affecting us, humans. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] We are not the only creatures that inhabit this world and we should respect all those animals that live on the earth. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Especially those who have been here for millions of years. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I find turtles interesting creatures and I feel like we should do all that we can to ensure the safety and growth of these ancient animals. [BOE] [joy] [EOE] [EOS]	3.167	3.625	sadness
R_3QLVVnAgRBRH41U_3	R_3QLVVnAgRBRH41U	188	Sikumjua mcheshi huyu lakini nikifikiria jinsi ningehisi ikiwa mcheshi, mwigizaji, au msanii ninayempenda sana angekufa; Ninaelewa dhiki ya kihisia na maumivu ambayo wengine wanaweza kuhisi kutokana na hili. Kifo ni jambo lisiloepukika ambalo linaathiri watu wengi kila siku na kufikiria tu juu ya wale walio karibu nawe ambao wako hapa leo lakini wanaweza kuwa wameondoka kesho ni wazo la kutisha.	1.0	4.0	3.0	20.0	24000.0	[BOS] I did not know this comedian but thinking about how I would feel if my favorite comedian, actor, or artist died; [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] I understand the emotional distress and pain that some may feel from this. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] Death is an inevitable thing that affects so many people daily and to just think about those around you who are here today but may be gone tomorrow is a scary thought. [BOE] [fear] [EOE] [EOS]	4.5	3.125	fear
R_3QLVVnAgRBRH41U_4	R_3QLVVnAgRBRH41U	307	Mimi ni muumini aliyethibitishwa kuwa adhabu yako inapaswa kuendana na uhalifu, lakini mtu huyo ni mzee sana kwa hivyo sioni kushikilia kwake kumekuwaje kwa hukumu yake. Ningeelewa ikiwa alihukumiwa kimakosa, lakini haionekani kuwa hivyo. Mfumo wa mahakama unahitaji marekebisho kwa sababu baadhi ya mambo yanayotokea sasa ni ya kutisha.	1.0	4.0	3.0	20.0	24000.0	[BOS] I am an affirmed believer that your punishment should fit the crime, but the man is so old so I don't see what the hold up has been for his sentence. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] I would understand if he was wrongly convicted, but that does not seem to be the case. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] The judicial system needs reformation because some of the things that are happening now are appalling. [BOE] [disgust] [EOE] [EOS]	2.0	2.0	anger
R_3QLVVnAgRBRH41U_5	R_3QLVVnAgRBRH41U	409	Sawa, nachukia kusikia kuhusu milipuko ya magonjwa. Inanipa mkazo sana kwa sababu lazima upigane na kitu ambacho huwezi kuona. Na ninajua maendeleo yote ya matibabu, lakini hiyo inanipa akili kidogo. Itakuwa nzuri kutokomeza ugonjwa kabisa. Kuishi katika jamii ya aina ya ndoto.	1.0	4.0	3.0	20.0	24000.0	[BOS] Okay, I hate hearing about disease outbreaks. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] It causes me so much stress because you have to fight something that you cannot see. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] And I am aware of all the medical advancements, but that only really gives me some piece of mind. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] It would nice to eradicate illness completely. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Live in a utopian type society. [BOE] [neutral] [EOE] [EOS]	4.5	4.625	anger
R_YbsvqmtcaiZkmrf_1	R_YbsvqmtcaiZkmrf	53	Nilihisi kutoegemea upande wowote niliposoma makala hiyo. Haikunisumbua sana au kuniathiri kwa njia yoyote kihisia au kimwili. Niliona ni rahisi sana kuiondoa akilini baada ya kuisoma pia. Ni kitu ambacho hakikuchochea hisia zozote ndani yangu. Sikuhisi chanya wala hasi baada ya kusoma makala hiyo.	1.0	4.0	1.0	29.0	80000.0	[BOS] I felt pretty neutral when i read the article. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] It didn't really bother me or affect me in any way emotionally or physically. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I found it really easy to put out of my mind after reading it as well. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] It was something that didn't induce any feelings in me. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I did not feel positive nor negative after reading the article. [BOE] [anger] [EOE] [EOS]	1.0	1.0	neutral
R_YbsvqmtcaiZkmrf_2	R_YbsvqmtcaiZkmrf	112	Hisia zangu baada ya kusoma makala hiyo ni kwamba ilinifanya nihuzunike kidogo. Nilisikitika kwa sababu nahisi kumwagika na uvujaji wa mafuta kutaathiri wanyamapori hasa walio majini. Mimi ni mkubwa katika kusaidia wanyama na kuwaweka salama kutokana na wanadamu kuwadhuru. Nakala hii hakika iliniweka zaidi kwenye upande mbaya.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings after reading the article is that it made me feel a bit sad. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I felt sad because i feel like the oil spills and leaks are going to affect the wildlife especially the ones in the water. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I am huge on helping animals and keeping them safe from humans harming them. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] This article definitely put me more on the negative side. [BOE] [anger] [EOE] [EOS]	3.667	2.25	sadness
R_YbsvqmtcaiZkmrf_3	R_YbsvqmtcaiZkmrf	170	Hisia zangu kwa nakala hii pia hazina upande wowote. Haikunifanya nihisi chochote. Badala yake, ilinifanya nihisi kuchoka na kwa namna fulani nilisinzia kwa muda. Nilihisi kama sio kitu chochote ambacho kingeniathiri au kitu chochote ambacho ningefikiria mara mbili. Ilinifanya nijisikie kupumzika zaidi. Sikuwa na aina yoyote ya hisia chanya au hasi kuelekea makala.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings towards this article is neutral as well. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] It did not really make me feel anything. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Rather yet, it made me feel a bit bored and i kind of dozed off for a bit. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I felt like it wasn't anything that would impact me or anything i would think twice about. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] It made me feel mostly relaxed. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] I didn't have nay sort of positive or negative emotions towards the article. [BOE] [anger] [EOE] [EOS]	1.0	1.0	sadness
R_YbsvqmtcaiZkmrf_4	R_YbsvqmtcaiZkmrf	263	Baada ya kusoma nakala hiyo, hakika nilikuwa na wasiwasi na wasiwasi. Sababu kuu ni kwa sababu mimi huwa na wasiwasi sana linapokuja suala la ugonjwa na vitu kama hivi. Ninahisi kama lazima nijiangalie baada ya kusoma nakala hii. Zaidi ya hayo, sikuogopa sana kutoka kwa nakala hiyo. Nilikuwa na wasiwasi zaidi ningesema.	1.0	4.0	1.0	29.0	80000.0	[BOS] After reading the article, i was definitely a bit worried and alarmed. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] The main reason is because i am always  very causitous when it comes to sickness and stuff like this. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I feel like i really have to watch out for myself after reading this article. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] Other than that, i wasn't extremely terrified from the article. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] I was just more alarmed i would say. [BOE] [fear] [EOE] [EOS]	1.0	1.5	fear
R_YbsvqmtcaiZkmrf_5	R_YbsvqmtcaiZkmrf	364	Hisia zangu baada ya kusoma makala hii ni kwamba ilinipa hisia mbaya kwa kiasi fulani. Nilijaribu kuona mambo kutoka kwa maoni ya mhamiaji. Nilijaribu kuona jinsi familia zao zingetenganishwa na jinsi ingekuwa vigumu kuonana. Wakati mwingine, wanaweza hata wasiweze kuonana tena. Nilihisi huzuni kidogo pia.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings after reading this article was that it gave me a somewhat negative feeling. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I tried to see things from the immigrant's point of views. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I tried to see how their families would be separated and how hard it would be to see one another. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] Sometimes, they mightnot even be able to see each other again. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I felt a bit sad as well. [BOE] [sadness] [EOE] [EOS]	2.333	1.0	sadness
